"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"124 ","","","ZIF-8","","50.0 ","1500.0 ","11.60 ","3.40 ","20%","","6FDA-Durene","","","","","","30.0 ","3.5 ","66.57 ","468.01 ","7.03 ","2.45 ","3.13 ","1.28 "
"130 ","2019 ","22 ","ZIF-8","","50.0 ","","11.60 ","3.40 ","10%","","6FDA-HAB DAM","300, 60min","60 ","","","","35.0 ","1.0 ","2.30 ","117.00 ","50.87 ","1.91 ","1.64 ","0.86 "
"131 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","10%","","6FDA-HAB DAM-3","375, 36min","60 ","","","","35.0 ","1.0 ","4.40 ","144.00 ","32.73 ","1.70 ","1.55 ","0.91 "
"132 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","10%","","6FDA-HAB DAM-5","375, 114min","60 ","","","","35.0 ","1.0 ","6.90 ","233.00 ","33.77 ","1.54 ","1.53 ","1.00 "
"133 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","10%","","6FDA-HAB DAM-7","400, 60","60 ","","","","35.0 ","1.0 ","12.70 ","304.00 ","23.94 ","1.39 ","1.39 ","1.00 "
"134 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","10%","","6FDA-HAB DAM-9","400, 116","60 ","","","","35.0 ","1.0 ","18.40 ","413.00 ","22.45 ","0.94 ","1.12 ","1.19 "
"135 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","20%","","6FDA-HAB DAM","300, 60","60 ","","","","35.0 ","1.0 ","2.30 ","117.00 ","50.87 ","2.65 ","1.91 ","0.72 "
"136 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","20%","","6FDA-HAB DAM-3","375, 15","60 ","","","","35.0 ","1.0 ","4.40 ","144.00 ","32.73 ","1.91 ","1.81 ","0.95 "
"137 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","20%","","6FDA-HAB DAM-5","375, 37min","60 ","","","","35.0 ","1.0 ","6.90 ","233.00 ","33.77 ","1.17 ","1.22 ","1.04 "
"138 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","20%","","6FDA-HAB DAM-7","400, 24min","60 ","","","","35.0 ","1.0 ","12.70 ","304.00 ","23.94 ","0.89 ","1.19 ","1.34 "
"139 ","","","ZIF-8","","50.0 ","","11.60 ","3.40 ","20%","","6FDA-HAB DAM-9","400, 60min","60 ","","","","35.0 ","1.0 ","18.40 ","413.00 ","22.45 ","2.35 ","2.29 ","0.97 "
"141 ","2018 ","23 ","ZIF-8","hollow","250.0 ","","11.60 ","3.40 ","5%","","PVC-g-POEM","","","","","","35.0 ","1.0 ","2.40 ","43.50 ","18.12 ","1.25 ","1.19 ","0.95 "
"142 ","","","ZIF-8","hollow","250.0 ","","11.60 ","3.40 ","10%","","PVC-g-POEM","","","","","","35.0 ","1.0 ","2.40 ","43.50 ","18.12 ","6.12 ","4.84 ","0.79 "
"143 ","","","ZIF-8","hollow","250.0 ","","11.60 ","3.40 ","20%","","PVC-g-POEM","","","","","","35.0 ","1.0 ","2.40 ","43.50 ","18.12 ","7.88 ","5.17 ","0.66 "
"145 ","2016 ","24 ","ZIF-8","","250-300","1029.0 ","11.60 ","3.40 ","5%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","1.12 ","1.08 ","0.96 "
"146 ","","","ZIF-8","","250-300","1029.0 ","11.60 ","3.40 ","10%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","1.25 ","1.28 ","1.02 "
"147 ","","","ZIF-8","","250-300","1029.0 ","11.60 ","3.40 ","15%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","1.70 ","1.64 ","0.97 "
"148 ","","","ZIF-8","","250-300","1029.0 ","11.60 ","3.40 ","20%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","2.62 ","2.13 ","0.81 "
"149 ","","","ZIF-8","","250-300","1029.0 ","11.60 ","3.40 ","25%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","3.25 ","2.70 ","0.83 "
"151 ","","","ZIF-8","","250.0 ","698.0 ","11.60 ","3.40 ","5%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","0.88 ","1.05 ","1.20 "
"152 ","","","ZIF-8","","250.0 ","698.0 ","11.60 ","3.40 ","10%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","0.70 ","1.21 ","1.73 "
"153 ","","","ZIF-8","","250.0 ","698.0 ","11.60 ","3.40 ","15%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","1.25 ","1.64 ","1.32 "
"154 ","","","ZIF-8","","250.0 ","698.0 ","11.60 ","3.40 ","20%","","PEBAX 1657","","80 ","","","","25.0 ","1.0 ","4.00 ","76.00 ","19.00 ","1.80 ","1.97 ","1.10 "
"163 ","2013 ","26 ","ZIF-7","","35.0 ","","7.50 ","3.00 ","8%","","PEBAX 1657","","0.498 ","","","","20.0 ","3.5 ","5.14 ","72.00 ","14.00 ","1.23 ","2.01 ","1.64 "
"164 ","","","ZIF-7","","35.0 ","","7.50 ","3.00 ","22%","","PEBAX 1657","","0.812 ","","","","20.0 ","3.5 ","5.14 ","72.00 ","14.00 ","0.72 ","1.54 ","2.14 "
"165 ","","","ZIF-7","","35.0 ","","7.50 ","3.00 ","34%","","PEBAX 1657","","1.052 ","","","","20.0 ","3.5 ","5.14 ","72.00 ","14.00 ","0.18 ","0.57 ","3.14 "
"169 ","2019 ","28 ","ZIF-8","","700.0 ","1506.0 ","11.60 ","3.40 ","2%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.34 ","1.68 ","1.25 "
"170 ","","","ZIF-8","","700.0 ","1506.0 ","11.60 ","3.40 ","3%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.54 ","1.79 ","1.17 "
"171 ","","","ZIF-8","","700.0 ","1506.0 ","11.60 ","3.40 ","4%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.59 ","1.83 ","1.16 "
"172 ","","","ZIF-8","","700.0 ","1506.0 ","11.60 ","3.40 ","5%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.71 ","1.85 ","1.09 "
"173 ","","","ZIF-67","","300.0 ","1465.0 ","11.60 ","3.30 ","2%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.37 ","1.58 ","1.15 "
"174 ","","","ZIF-67","","300.0 ","1465.0 ","11.60 ","3.30 ","3%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.39 ","2.20 ","1.58 "
"175 ","","","ZIF-67","","300.0 ","1465.0 ","11.60 ","3.30 ","4%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.41 ","2.28 ","1.61 "
"176 ","","","ZIF-67","","300.0 ","1465.0 ","11.60 ","3.30 ","5%","","PEBAX 1657","","95 ","","","","35.0 ","11.0 ","4.10 ","70.10 ","17.10 ","1.59 ","2.31 ","1.46 "
"178 ","2014 ","29 ","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","3%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.12 ","1.09 ","0.97 "
"179 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","5%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.30 ","1.15 ","0.89 "
"180 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","7%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.40 ","1.21 ","0.86 "
"181 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","10%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.52 ","1.28 ","0.84 "
"182 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","15%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.66 ","1.32 ","0.80 "
"183 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","20%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.84 ","1.38 ","0.75 "
"184 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","30%","","6FDA-durene","","50 ","","","","25.0 ","2.0 ","65.00 ","1468.30 ","22.59 ","1.96 ","1.49 ","0.76 "
"186 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","3%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.11 ","1.06 ","0.96 "
"187 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","5%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.20 ","1.16 ","0.96 "
"188 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","7%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.24 ","1.22 ","0.99 "
"189 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","10%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.28 ","1.30 ","1.02 "
"190 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","15%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.41 ","1.39 ","0.98 "
"191 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","20%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.50 ","1.45 ","0.96 "
"192 ","","","ZIF-8","","100-200","1350-1850","11.60 ","3.40 ","30%","","6FDA-durene","","50 ","","","","25.0 ","6.0 ","68.10 ","1365.80 ","20.06 ","1.70 ","1.56 ","0.92 "
"194 ","2014 ","30 ","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","5%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","1.07 ","1.04 ","0.97 "
"195 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","10%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","1.19 ","1.22 ","1.02 "
"196 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","15%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","1.31 ","1.64 ","0.74 "
"197 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","20%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","2.21 ","2.43 ","0.80 "
"198 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","25%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","3.02 ","3.08 ","0.96 "
"199 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","30%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","3.21 ","3.35 ","0.98 "
"200 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","35%","","PEBAX2533","","50 ","","","","25.0 ","2.0 ","42.00 ","351.00 ","8.36 ","3.40 ","3.67 ","4.53 "
"202 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","5%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","8.79 ","1.35 ","1.33 ","0.89 "
"203 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","10%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","8.79 ","1.50 ","1.45 ","0.88 "
"204 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","15%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","8.79 ","1.65 ","1.70 ","0.61 "
"205 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","20%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","8.79 ","2.76 ","2.82 ","0.74 "
"206 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","25%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","8.79 ","3.79 ","3.78 ","0.94 "
"207 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","30%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","8.79 ","4.03 ","4.08 ","0.98 "
"208 ","","","ZIF-8","","300-500","1350-1850","11.60 ","3.40 ","35%","","PEBAX2533","","50 ","","","","25.0 ","6.0 ","34.00 ","299.00 ","#REF!","4.18 ","4.32 ","#REF!"
"217 ","2010 ","32 ","ZIF-8","","50.0 ","1350-1850","11.60 ","3.40 ","20%","","matrimid 5218","","40 ","","3.50 ","","35.0 ","2.6 ","0.24 ","10.00 ","41.67 ","0.75 ","0.80 ","1.07 "
"218 ","","","ZIF-8","","50.0 ","1350-1850","11.60 ","3.40 ","30%","","matrimid 5218","","40 ","","3.20 ","","35.0 ","2.6 ","0.24 ","10.00 ","41.67 ","1.62 ","1.50 ","0.92 "
"219 ","","","ZIF-8","","50.0 ","1350-1850","11.60 ","3.40 ","40%","","matrimid 5218","","40 ","","3.10 ","","35.0 ","2.6 ","0.24 ","10.00 ","41.67 ","3.71 ","2.60 ","0.70 "
"220 ","","","ZIF-8","","50.0 ","1350-1850","11.60 ","3.40 ","50%","","matrimid 5218","","40 ","","2.90 ","","35.0 ","2.6 ","0.24 ","10.00 ","41.67 ","0.21 ","0.50 ","2.40 "
"221 ","","","ZIF-8","","50.0 ","1350-1850","11.60 ","3.40 ","60%","","matrimid 5218","","40 ","","2.20 ","","35.0 ","2.6 ","0.24 ","10.00 ","41.67 ","0.38 ","0.80 ","2.13 "
"223 ","2017 ","33 ","ZIF-11","","200-2000","350.3 ","14.60 ","3.00 ","10%","","6FDA","","70 ","","","","35.0 ","4.0 ","0.63 ","20.60 ","32.70 ","5.56 ","5.33 ","0.96 "
"224 ","","","ZIF-11","","200-2000","350.3 ","14.60 ","3.00 ","20%","","6FDA","","70 ","","","","35.0 ","4.0 ","0.63 ","20.60 ","32.70 ","13.17 ","12.50 ","0.95 "
"225 ","","","ZIF-11","","200-2000","350.3 ","14.60 ","3.00 ","30%","","6FDA","","70 ","","","","35.0 ","4.0 ","0.63 ","20.60 ","32.70 ","3.81 ","3.55 ","0.93 "
"282 ","2015 ","39 ","ZIF-8","","120","1300-1450","11.60 ","3.40 ","10%","","matrimid 5218","","","","2.91 ","","35.0 ","5.0 ","0.24 ","8.00 ","33.33 ","1.04 ","1.56 ","1.50 "
"283 ","","","ZIF-8","","120","1300-1450","11.60 ","3.40 ","20%","","matrimid 5218","","","","3.42 ","","35.0 ","5.0 ","0.24 ","8.00 ","33.33 ","1.25 ","2.31 ","1.85 "
"284 ","","","ZIF-8","","120","1300-1450","11.60 ","3.40 ","30%","","matrimid 5218","","","","3.63 ","","35.0 ","5.0 ","0.24 ","8.00 ","33.33 ","1.88 ","3.25 ","1.73 "
"285 ","","","ZIF-8","","120","1300-1450","11.60 ","3.40 ","40%","","matrimid 5218","","","","3.51 ","","35.0 ","5.0 ","0.24 ","8.00 ","33.33 ","4.38 ","5.62 ","1.29 "
"287 ","2017 ","40 ","ZIF-8","","45-65","1691.0 ","11.60 ","3.40 ","10%","","PVC-POEM-g","","75 ","","","","25.0 ","","20.00 ","41.00 ","2.05 ","3.10 ","2.17 ","0.68 "
"288 ","","","ZIF-8","","45-65","1691.0 ","11.60 ","3.40 ","30%","","PVC-POEM-g","","75 ","","","","25.0 ","","20.00 ","41.00 ","2.05 ","4.00 ","2.59 ","0.63 "
"289 ","","","ZIF-8","","45-65","1691.0 ","11.60 ","3.40 ","50%","","PVC-POEM-g","","75 ","","","","25.0 ","","20.00 ","41.00 ","2.05 ","5.50 ","2.98 ","0.53 "
"291 ","","","ZIF-8","","45-65","1691.0 ","11.60 ","3.40 ","10%","","PVC-POEM-g","","75 ","","","","25.0 ","","1.70 ","2.30 ","1.35 ","2.71 ","2.43 ","0.87 "
"292 ","","","ZIF-8","","45-65","1691.0 ","11.60 ","3.40 ","30%","","PVC-POEM-g","","75 ","","","","25.0 ","","1.70 ","2.30 ","1.35 ","8.59 ","7.09 ","0.80 "
"295 ","2012 ","41 ","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","5%","230℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","1.13 ","1.25 ","1.10 "
"296 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","10%","230℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","1.96 ","1.69 ","0.87 "
"297 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","20%","60℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","4.61 ","2.45 ","0.53 "
"298 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","20%","150℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","1.00 ","1.09 ","1.09 "
"299 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","20%","180℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","1.35 ","1.61 ","1.19 "
"300 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","20%","200℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","1.57 ","1.60 ","1.02 "
"301 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","20%","230℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","2.00 ","2.06 ","1.03 "
"302 ","","","ZIF-8","","60.0 ","1300-1600","11.60 ","3.40 ","30%","230℃，18h","Matrimid 5218","","55 ","","","","22.0 ","4.0 ","0.23 ","8.07 ","35.09 ","5.04 ","3.56 ","0.71 "
"310 ","2013 ","43 ","ZIF-8","","","1860.0 ","11.60 ","3.40 ","15%","/","Matrimid 5218","","40 ","","","","35.0 ","3.45 ","0.26 ","8.93 ","34.50 ","2.75 ","2.80 ","1.02 "
"311 ","","","ZIF-8","","","1150.0 ","11.60 ","3.40 ","15%","2-amBzIM,15% link","Matrimid 5218","","40 ","","","","35.0 ","3.45 ","0.26 ","8.93 ","34.50 ","1.48 ","1.57 ","1.06 "
"312 ","","","ZIF-8","","","350.0 ","11.60 ","3.40 ","15%","2-amBzIM,30% link","Matrimid 5218","","40 ","","","","35.0 ","3.45 ","0.26 ","8.93 ","34.50 ","1.21 ","1.34 ","1.11 "
"313 ","","","ZIF-7-8-(20)","","","1100.0 ","11.60 ","3.40 ","15%","/","Matrimid 5218","","40 ","","","","35.0 ","3.45 ","0.26 ","8.93 ","34.50 ","2.15 ","2.24 ","1.04 "
"315 ","2012 ","44 ","ZIF-8","","","1650.0 ","11.60 ","3.40 ","10%","direct sonication","Matrimid 5218","","55 ","","","","33.0 ","4.5 ","0.33 ","11.00 ","33.00 ","1.18 ","1.27 ","1.08 "
"316 ","","","ZIF-8","","","1650.0 ","11.60 ","3.40 ","10%","indirect sonication","Matrimid 5218","","55 ","","","","33.0 ","4.5 ","0.33 ","11.00 ","33.00 ","2.13 ","2.00 ","0.94 "
"317 ","","","ZIF-8","","","1650.0 ","11.60 ","3.40 ","25%","direct sonication","Matrimid 5218","","55 ","","","","33.0 ","4.5 ","0.33 ","11.00 ","33.00 ","1.85 ","2.18 ","1.18 "
"318 ","","","ZIF-8","","","1650.0 ","11.60 ","3.40 ","25%","indirect sonication","Matrimid 5218","","55 ","","","","33.0 ","4.5 ","0.33 ","11.00 ","33.00 ","4.45 ","4.32 ","0.97 "
"320 ","2020 ","45 ","ZIF-7","","30","351.0 ","7.50 ","3.00 ","5%","","PIM-1-TT","","85 ","","","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","0.93 ","0.96 ","1.02 "
"321 ","","","ZIF-7","","30","351.0 ","7.50 ","3.00 ","10%","","PIM-1-TT","","85 ","","1.12 ","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","0.65 ","0.77 ","1.19 "
"322 ","","","ZIF-7","","30","351.0 ","7.50 ","3.00 ","20%","","PIM-1-TT","","85 ","","1.16 ","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","0.43 ","0.58 ","1.35 "
"323 ","","","ZIF-7","","30","351.0 ","7.50 ","3.00 ","30%","","PIM-1-TT","","85 ","","0.85 ","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","2.10 ","1.31 ","0.62 "
"324 ","","","ZIF-7","NH2","30","426.0 ","7.50 ","3.00 ","5%","","PIM-1-TT","","85 ","","","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","0.93 ","0.99 ","1.07 "
"325 ","","","ZIF-7","NH2","30","426.0 ","7.50 ","3.00 ","10%","","PIM-1-TT","","85 ","","1.18 ","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","0.59 ","0.79 ","1.33 "
"326 ","","","ZIF-7","NH2","30","426.0 ","7.50 ","3.00 ","20%","","PIM-1-TT","","85 ","","1.23 ","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","0.37 ","0.63 ","1.72 "
"327 ","","","ZIF-7","NH2","30","426.0 ","7.50 ","3.00 ","30%","","PIM-1-TT","","85 ","","0.96 ","","30.0 ","2.0 ","368.85 ","4500.00 ","12.20 ","1.38 ","1.11 ","0.80 "
"329 ","2016 ","46 ","ZIF-8","","30-60","1250.0 ","11.6 ","3.4 ","7%","/","TBDA2-6FDA","","","","","","35.0 ","1.0 ","8.00 ","285.00 ","35.62 ","2.62 ","1.96 ","0.75 "
"330 ","","","ZIF-8","","30-60","1250.0 ","11.6 ","3.4 ","20%","","TBDA2-6FDA","","","","","","35.0 ","1.0 ","8.00 ","285.00 ","35.62 ","5.25 ","3.14 ","0.60 "
"331 ","","","ZIF-8","","30-60","1250.0 ","11.6 ","3.4 ","30%","","TBDA2-6FDA","","","","","","35.0 ","1.0 ","8.00 ","285.00 ","35.62 ","11.50 ","5.04 ","0.44 "
"332 ","","","ZIF-8","","30-60","1250.0 ","11.6 ","3.4 ","7%","polydopamine (PD)  5h 1-2nm","TBDA2-6FDA","","","","","","35.0 ","1.0 ","8.00 ","285.00 ","35.62 ","1.88 ","1.33 ","0.71 "
"333 ","","","ZIF-8","","30-60","1250.0 ","11.6 ","3.4 ","20%","","TBDA2-6FDA","","","","","","35.0 ","1.0 ","8.00 ","285.00 ","35.62 ","3.75 ","2.46 ","0.66 "
"334 ","","","ZIF-8","","30-60","1250.0 ","11.6 ","3.4 ","30%","","TBDA2-6FDA","","","","","","35.0 ","1.0 ","8.00 ","285.00 ","35.62 ","6.50 ","3.71 ","0.57 "
"337 ","2013 ","47 ","ZIF-8","","","","11.60 ","3.40 ","100%","","6FDA-durene-PDMC.","","70 ","","","","35.0 ","3.5 ","30.00 ","468.50 ","15.62 ","14.33 ","2.54 ","0.18 "
"338 ","","","ZIF-8","","","","11.60 ","3.40 ","33%","","6FDA-durene-PDMC.","","70 ","","2.70 ","","35.0 ","3.5 ","30.00 ","468.50 ","15.62 ","4.68 ","3.31 ","0.71 "
"339 ","","","ZIF-8","","","","11.60 ","3.40 ","33%","EDA Vapor Cross-Linking 10μm","6FDA-durene-PDMC.","","70 ","","3.20 ","","35.0 ","3.5 ","30.00 ","468.50 ","15.62 ","0.05 ","0.05 ","1.08 "
"341 ","2018 ","48 ","ZIF-67","","300.0 ","1481.0 ","11.60 ","3.40 ","5%","","PIM-1-TT","","85 ","","0.90 ","","30.0 ","2.0 ","360.00 ","2200.00 ","6.20 ","0.98 ","1.14 ","1.23 "
"342 ","","","ZIF-67","","300.0 ","1481.0 ","11.60 ","3.40 ","10%","","PIM-1-TT","","85 ","","0.98 ","","30.0 ","2.0 ","360.00 ","2200.00 ","6.20 ","0.96 ","1.23 ","1.29 "
"343 ","","","ZIF-67","","300.0 ","1481.0 ","11.60 ","3.40 ","20%","","PIM-1-TT","","85 ","","0.81 ","","30.0 ","2.0 ","360.00 ","2200.00 ","6.20 ","0.86 ","1.57 ","1.90 "
"346 ","2017 ","49 ","ZIF-7","","60-80","350.0 ","7.50 ","3.00 ","10%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","1.01 ","1.10 ","1.09 "
"347 ","","","ZIF-7","","60-80","350.0 ","7.50 ","3.00 ","17%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","0.92 ","1.19 ","1.29 "
"348 ","","","ZIF-7","","60-80","350.0 ","7.50 ","3.00 ","28%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","0.81 ","1.29 ","1.59 "
"349 ","","","ZIF-7","","60-80","350.0 ","7.50 ","3.00 ","37%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","8.48 ","3.69 ","0.43 "
"350 ","","","ZIF-7","NH2","30-50","417.0 ","7.50 ","3.00 ","9%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","1.03 ","1.43 ","1.39 "
"351 ","","","ZIF-7","NH2","30-50","417.0 ","7.50 ","3.00 ","18%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","0.98 ","1.57 ","1.61 "
"352 ","","","ZIF-7","NH2","30-50","417.0 ","7.50 ","3.00 ","30%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","0.84 ","2.05 ","2.43 "
"353 ","","","ZIF-7","NH2","30-50","417.0 ","7.50 ","3.00 ","36%","","XLPEO","","100 ","","","","35.0 ","5.0 ","4.57 ","105.00 ","23.00 ","9.67 ","5.05 ","0.52 "
"355 ","2017 ","50 ","ZIF-7","","30-50","350.0 ","7.50 ","3.00 ","5%","stirred for 72 h at 35 °","PEI","","400 ","","","","35.0 ","2.03 ","18.90 ","82.50 ","4.37 ","0.26 ","0.78 ","2.96 "
"356 ","","","ZIF-7","NH2","30-50","350.0 ","7.50 ","3.00 ","5%","PMS modified","PEI","","400 ","","","","35.0 ","2.03 ","18.90 ","82.50 ","4.37 ","5.71 ","2.98 ","0.52 "
"366 ","2018 ","53 ","ZIF-11","","/","200-2000","16.50 ","3.00 ","10%","","Matrimid 5218","","70 ","","","","35.0 ","4.0 ","0.26 ","4.20 ","16.15 ","1.12 ","1.61 ","1.44 "
