"No.","year","Ref.","filler type","function","filler size/nm","BET","cage size/A","aperture size/A","loading amout","","matrix type","","thickness/μm","","","","T/℃","P/bar","Control CH4 permeability","Control CO2 permeability","Control CO2/CH4 selectivity","Relative CH4 permeability","Relative CO2 permeability","Relative CO2/CH4 selectivity"
"132","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","2.24 ","2.19 ","0.98 "
"133","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","2.50 ","2.22 ","0.89 "
"134","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.05 ","2.15 ","1.05 "
"135","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","2.11 ","2.26 ","1.07 "
"136","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","2.28 ","2.31 ","1.01 "
"137","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","2.41 ","2.31 ","0.96 "
"138","","","MOF-5","Ni","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","2.61 ","2.32 ","0.89 "
"139","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.22 ","2.20 ","0.99 "
"140","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","2.44 ","2.29 ","0.94 "
"141","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","2.68 ","2.35 ","0.88 "
"142","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","2.91 ","2.36 ","0.81 "
"143","","","MOF-5","Co","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","2.90 ","2.42 ","0.83 "
"144","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.30 ","2.73 ","1.19 "
"145","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","2.58 ","2.29 ","0.88 "
"146","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","2.75 ","2.37 ","0.86 "
"147","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","4","0.23 ","2.25 ","9.91 ","3.08 ","2.41 ","0.78 "
"148","","","MOF-5","Cu","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","5","0.25 ","2.30 ","9.24 ","3.26 ","2.96 ","0.91 "
"149","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","1","0.22 ","2.05 ","9.32 ","2.46 ","2.55 ","1.04 "
"150","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","2","0.22 ","2.10 ","9.42 ","2.75 ","2.90 ","1.06 "
"151","","","MOF-5","","3000","","7.8","7.8","5.00%","","PI","","40","","","","25","3","0.23 ","2.20 ","9.78 ","2.90 ","2.87 ","0.99 "
